"Nombre de las llaves ","Precio de la llave","Cajas que puedo abrir"
"Operation Breakout Case Key","$ 26.42","Operation Breakout Weapon Case"
"Glove Case Key","$ 21.65","Glove Case"
"Clutch Case Key","$ 21.03","Clutch Case"
"Danger Zone Case Key","$ 20.40","Danger Zone Case"
"Spectrum 2 Case Key","$ 20.15","Spectrum 2 Case"
"Huntsman Case Key","$ 18.65","Huntsman Weapon Case"
"Gamma Case Key","$ 17.93","Gamma Case"
"CS20 Case Key","$ 18.12","CS20 Case"
"Prisma Case Key","$ 17.80","Prisma Case"
"Revolver Case Key","$ 16.24","Revolver Case"
"Gamma 2 Case Key","$ 16.71","Gamma 2 Case"
"Operation Wildfire Case Key","-","Operation Wildfire Case"
"Chroma Case Key","-","Chroma Case"
"Spectrum Case Key","$ 13.81","Spectrum Case"
"Chroma 2 Case Key","$ 12.96","Chroma 2 Case"
"Chroma 3 Case Key","$ 12.85","Chroma 3 Case"
"Operation Phoenix Case Key","$ 12.12","Operation Phoenix Weapon Case"
"Shadow Case Key","$ 11.88","Shadow Case"
"Operation Vanguard Case Key","$ 11.59","Operation Vanguard Weapon Case"
"Winter Offensive Case Key","$ 11.82","Winter Offensive Weapon Case"
"Horizon Case Key","$ 11.62","Horizon Case"
"Falchion Case Key","$ 10.51","Falchion Case"
"eSports Key","$ 10.60","eSports 2013 Case
eSports 2013 Winter Case
eSports 2014 Summer Case"
"CS:GO Case Key","$ 7.46","CS:GO Weapon Case
CS:GO Weapon Case 2
CS:GO Weapon Case 3
Operation Bravo Case"
